epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,768.838,2.07429,2.18237,2.27237,2.05936,0.27028,0.28947,0.18953,0.07471,0.26366,0.31579,0.19921,0.06536,2.29352,2.29534,2.80201,2.24808,0.00188516,0.00188516,0.00188516
31,794.498,2.03633,2.24746,2.26193,1.97497,0.29378,0.18421,0.15496,0.04571,0.23489,0.15789,0.11532,0.04454,2.32689,2.0895,3.18107,2.23434,0.0018812,0.0018812,0.0018812
32,818.989,2.02066,2.20835,2.36069,2.00172,0.09148,0.36041,0.08114,0.02931,0.11152,0.43936,0.09351,0.03157,2.32729,2.08294,2.95123,2.13116,0.00187724,0.00187724,0.00187724
33,843.525,2.08959,2.22684,2.27286,2.06395,0.12715,0.26316,0.13883,0.0634,0.14091,0.34211,0.15104,0.06045,2.29879,2.3482,2.67292,2.25384,0.00187328,0.00187328,0.00187328
34,868.559,1.96308,2.21136,2.17029,1.9117,0.21622,0.31223,0.17284,0.0739,0.24313,0.33821,0.21019,0.0593,2.25846,2.22161,2.63511,2.23452,0.00186932,0.00186932,0.00186932
35,893.241,2.04714,2.28491,2.21456,2.00693,0.21249,0.28947,0.19258,0.06071,0.20242,0.28947,0.2102,0.06238,2.44799,2.21498,2.55914,2.26074,0.00186536,0.00186536,0.00186536
36,917.719,2.06596,2.21652,2.18982,1.97835,0.18673,0.26316,0.14961,0.04674,0.2054,0.28947,0.15616,0.03738,2.17675,2.40375,2.52272,2.18204,0.0018614,0.0018614,0.0018614
37,942.427,1.96412,2.16046,2.0933,1.90796,0.16778,0.31579,0.11468,0.04198,0.24061,0.36842,0.15206,0.04397,2.17589,2.27126,2.60265,2.12504,0.00185744,0.00185744,0.00185744
38,967.691,1.97821,2.14707,2.08347,1.92242,0.19229,0.23684,0.14879,0.06092,0.2634,0.18421,0.1852,0.05842,2.24448,2.27054,2.96475,2.27131,0.00185348,0.00185348,0.00185348
39,991.63,2.0129,2.19062,2.12857,1.96039,0.39774,0.15789,0.1768,0.07218,0.42667,0.15789,0.22219,0.07402,2.33986,2.13705,2.66558,2.21297,0.00184952,0.00184952,0.00184952
40,1015.76,1.99405,2.15245,2.10224,1.94115,0.23794,0.28947,0.14721,0.05132,0.29297,0.34211,0.17656,0.05417,2.27126,2.01613,2.72055,2.27606,0.00184556,0.00184556,0.00184556
41,1041.26,1.93543,1.99698,2.03608,1.92051,0.2613,0.23684,0.21981,0.0952,0.28198,0.26316,0.24523,0.10133,2.18069,2.19978,2.57195,2.12093,0.0018416,0.0018416,0.0018416
42,1067.66,1.93998,2.15416,2.08912,1.92296,0.3457,0.19495,0.2494,0.12284,0.30104,0.28947,0.24412,0.09651,2.06869,2.23036,2.3349,2.06485,0.00183764,0.00183764,0.00183764
43,1093.02,1.86801,2.1289,1.9844,1.88562,0.234,0.42105,0.15797,0.06097,0.24355,0.34211,0.13201,0.04246,2.13948,2.29892,2.76202,2.15603,0.00183368,0.00183368,0.00183368
44,1118.8,1.96745,2.16236,1.96984,1.88374,0.23018,0.30699,0.20006,0.0849,0.25298,0.36842,0.19935,0.08117,2.24508,2.0938,2.53665,2.18269,0.00182972,0.00182972,0.00182972
45,1143.15,1.95054,2.1264,1.93934,1.86802,0.30611,0.31579,0.2644,0.09711,0.32193,0.36842,0.29406,0.08403,2.36785,2.24416,2.53049,2.19841,0.00182576,0.00182576,0.00182576
46,1167.51,1.98919,2.16222,2.01285,1.91781,0.50639,0.27022,0.35262,0.11871,0.50639,0.27022,0.35591,0.13661,2.41957,2.27968,2.38334,2.21881,0.0018218,0.0018218,0.0018218
47,1192.63,1.94219,2.17529,2.03405,1.9105,0.27606,0.34211,0.32204,0.14463,0.25226,0.31579,0.31967,0.11917,2.15634,2.05874,2.24695,2.19781,0.00181784,0.00181784,0.00181784
48,1218.54,1.90614,2.01934,2.04369,1.9112,0.26781,0.26316,0.28471,0.09648,0.23592,0.34211,0.26303,0.08396,2.2213,2.19326,2.37147,2.24714,0.00181388,0.00181388,0.00181388
49,1242.12,1.98123,2.12559,2.02321,1.96245,0.21991,0.28947,0.14336,0.04763,0.29294,0.31579,0.22273,0.06818,2.04487,2.19695,2.86226,2.13593,0.00180992,0.00180992,0.00180992
50,1265.78,1.88652,2.01494,1.97799,1.89636,0.27927,0.39474,0.3126,0.12351,0.29788,0.42105,0.32814,0.11698,1.95167,2.06958,2.46171,1.99221,0.00180596,0.00180596,0.00180596
51,1290.27,1.89757,2.16481,2.04484,1.8977,0.55696,0.29802,0.33568,0.14166,0.49288,0.34211,0.37094,0.14869,2.10412,1.93633,2.27347,2.0165,0.001802,0.001802,0.001802
52,1316.15,1.83077,2.0265,1.92471,1.87057,0.28487,0.34211,0.26955,0.10828,0.27186,0.34392,0.27667,0.10413,2.28667,2.04972,2.41762,2.09986,0.00179804,0.00179804,0.00179804
53,1339.55,1.77981,2.11588,1.84378,1.79735,0.27425,0.28947,0.2272,0.08514,0.24001,0.28947,0.2371,0.07678,2.27847,2.05954,2.59965,2.20591,0.00179408,0.00179408,0.00179408
54,1363.29,1.84122,2.04657,1.99405,1.88177,0.254,0.36842,0.22995,0.11104,0.23704,0.36842,0.24098,0.0918,2.14725,2.16087,2.48794,2.1083,0.00179012,0.00179012,0.00179012
55,1387.99,1.85022,2.08303,1.99482,1.87344,0.16769,0.34211,0.20191,0.09482,0.2762,0.34211,0.25566,0.10336,2.17675,2.03112,2.55709,2.11655,0.00178616,0.00178616,0.00178616
56,1411.6,1.81727,2.09348,1.91909,1.84064,0.29616,0.28794,0.26566,0.10999,0.25222,0.26316,0.25177,0.10874,2.08009,2.1886,2.29638,2.04836,0.0017822,0.0017822,0.0017822
57,1435.01,1.81233,2.06257,1.81842,1.77288,0.33427,0.44737,0.35134,0.15753,0.3467,0.461,0.37056,0.14864,2.06635,2.1419,2.31266,2.06444,0.00177824,0.00177824,0.00177824
58,1460.56,1.83655,1.95263,1.79084,1.86049,0.27621,0.44737,0.28523,0.10359,0.24996,0.44737,0.26729,0.10272,2.14633,2.09641,2.57525,2.14805,0.00177428,0.00177428,0.00177428
59,1485.32,1.80103,2.06289,1.8321,1.80792,0.35032,0.42105,0.28383,0.10668,0.33489,0.42105,0.24888,0.08958,2.16101,2.03541,2.33864,2.07041,0.00177032,0.00177032,0.00177032
60,1508.59,1.815,2.03215,1.84928,1.83857,0.21573,0.52632,0.22348,0.07274,0.25019,0.42105,0.20185,0.06446,2.16276,2.0113,2.46745,2.11881,0.00176636,0.00176636,0.00176636
61,1532.39,1.76762,1.91654,1.78173,1.78206,0.26423,0.39474,0.25275,0.09272,0.27374,0.42105,0.26973,0.1014,2.02723,2.00465,2.6639,2.0492,0.0017624,0.0017624,0.0017624
62,1558.32,1.74364,2.03813,1.8281,1.77862,0.45881,0.42105,0.35971,0.14275,0.42569,0.5,0.33861,0.13076,2.21082,2.18543,2.05178,2.15912,0.00175844,0.00175844,0.00175844
63,1582.54,1.85977,2.07615,1.84114,1.84551,0.25483,0.52632,0.26787,0.13261,0.39906,0.52632,0.41028,0.13393,2.23392,2.1417,2.41459,2.14769,0.00175448,0.00175448,0.00175448
64,1606.46,1.7351,1.96422,1.81782,1.85535,0.42107,0.52632,0.43419,0.14779,0.45652,0.57895,0.41157,0.15073,2.21143,1.91489,2.25794,2.16776,0.00175052,0.00175052,0.00175052
65,1631.73,1.66633,1.90693,1.6786,1.75164,0.55266,0.26316,0.32186,0.12365,0.57257,0.28229,0.32916,0.12276,2.10422,1.98198,2.46215,2.11115,0.00174656,0.00174656,0.00174656
66,1656.9,1.79661,2.10393,1.87333,1.83033,0.59276,0.38331,0.40165,0.15621,0.51663,0.36842,0.35757,0.13083,2.13712,1.97553,2.1161,2.17901,0.0017426,0.0017426,0.0017426
67,1680.83,1.73896,2.02093,1.74236,1.75997,0.521,0.37222,0.37255,0.16875,0.52233,0.42105,0.42508,0.13997,2.10156,2.06058,2.16059,2.07354,0.00173864,0.00173864,0.00173864
68,1707.05,1.70946,1.89561,1.66151,1.71427,0.30118,0.36842,0.32518,0.13229,0.34216,0.39474,0.40346,0.15892,2.00053,2.05376,2.44907,2.09462,0.00173468,0.00173468,0.00173468
69,1732.23,1.70395,1.89192,1.63071,1.74138,0.20393,0.47368,0.28116,0.13121,0.51158,0.24842,0.33177,0.13597,2.10685,1.98699,2.407,2.05819,0.00173072,0.00173072,0.00173072
70,1756.56,1.72483,2.00485,1.71869,1.7484,0.42713,0.49065,0.41877,0.16717,0.41074,0.52632,0.40822,0.16551,2.23154,2.04262,2.14384,2.17269,0.00172676,0.00172676,0.00172676
71,1782.25,1.70352,1.98597,1.71612,1.75419,0.33678,0.5,0.36837,0.15294,0.3509,0.52632,0.3422,0.14213,2.08386,1.94424,2.1073,2.02844,0.0017228,0.0017228,0.0017228
72,1807.86,1.72035,1.91014,1.63005,1.72766,0.31455,0.42105,0.34192,0.14769,0.38892,0.52632,0.3509,0.14533,1.98301,1.93797,2.18083,1.98077,0.00171884,0.00171884,0.00171884
73,1832.57,1.72466,1.99954,1.70879,1.70766,0.27592,0.31579,0.33344,0.16455,0.37668,0.52632,0.36559,0.15325,2.07773,2.02702,2.24425,2.05954,0.00171488,0.00171488,0.00171488
74,1857.6,1.75546,2.01442,1.74968,1.75258,0.61992,0.28947,0.36455,0.16714,0.4946,0.33501,0.37316,0.14874,2.08673,2.10036,2.20974,2.10854,0.00171092,0.00171092,0.00171092
75,1882.3,1.65006,1.92192,1.68719,1.70989,0.45011,0.53866,0.46222,0.21436,0.47021,0.57895,0.53024,0.19225,1.93924,2.08103,2.07728,2.01461,0.00170696,0.00170696,0.00170696
76,1909.05,1.66415,1.98593,1.67106,1.71264,0.39553,0.5,0.41271,0.17611,0.37472,0.47368,0.37173,0.14221,1.94221,2.02331,2.18624,2.00298,0.001703,0.001703,0.001703
77,1933.16,1.69919,1.91198,1.647,1.72153,0.49174,0.42105,0.41767,0.20229,0.49174,0.42105,0.4051,0.16518,1.85331,1.94685,1.9662,1.95689,0.00169904,0.00169904,0.00169904
78,1957.46,1.69675,1.97026,1.66595,1.75546,0.44508,0.44334,0.4303,0.20131,0.49382,0.44737,0.4859,0.18777,1.93584,1.84902,2.03747,1.9661,0.00169508,0.00169508,0.00169508
79,1982.53,1.76482,2.07275,1.68091,1.79654,0.49016,0.44737,0.40863,0.13705,0.40443,0.36842,0.35305,0.13496,1.9328,1.96366,2.50994,2.02094,0.00169112,0.00169112,0.00169112
80,2008.09,1.6955,1.95598,1.63826,1.72158,0.47278,0.56651,0.4874,0.24558,0.43426,0.47368,0.47037,0.18267,1.90086,2.05436,2.02189,1.97174,0.00168716,0.00168716,0.00168716
81,2033.55,1.73241,1.97233,1.6703,1.76324,0.54883,0.38439,0.41559,0.18691,0.45793,0.53366,0.41299,0.15567,1.9873,1.9973,1.98938,2.04255,0.0016832,0.0016832,0.0016832
82,2057.49,1.61056,1.88334,1.5879,1.65063,0.48591,0.5,0.49325,0.24651,0.4824,0.5,0.4681,0.18797,1.85278,1.91837,2.1531,1.98867,0.00167924,0.00167924,0.00167924
83,2084.53,1.67374,2.01069,1.65178,1.69972,0.2788,0.63158,0.40558,0.19104,0.27829,0.52632,0.41128,0.16408,2.03919,1.98965,1.98245,2.09285,0.00167528,0.00167528,0.00167528
84,2108.89,1.58483,1.93543,1.53309,1.65729,0.48865,0.47368,0.44108,0.1723,0.45568,0.47368,0.42654,0.1536,2.01772,2.01486,2.33884,2.08819,0.00167132,0.00167132,0.00167132
85,2133.52,1.65161,1.97685,1.57626,1.70328,0.44904,0.52632,0.43917,0.18599,0.43339,0.48323,0.43302,0.15791,1.92663,1.9685,2.52985,2.0271,0.00166736,0.00166736,0.00166736
